area,index,actor_name,x,y,flags_hex,schedule_hex,scheduled_hours,schedule_active,hours,cre,actor_dialogue,actor_override,actor_general,actor_class,actor_race,actor_default,actor_specific,embedded_offset,embedded_size,cre_key,cre_status,cre_sha256,kill_xp,ea,name_strref,current_hp,max_hp,state_hex,state_dead,deathvar,dialogue,cre_override,cre_class,cre_race,cre_general,cre_default
BD0010,0,Refugee Man,374,746,0x00000001,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDREFGM2,BDPOOL10,,,,,,,0,0,BDREFGM2,ok,0d924cd15486417d1d9b838f6e55cffaabd5d756499e178b10e76904320070b5,15,128,252888,8,8,0x00000000,0,BDREFGM2,BDREFGM2,BDCRWDE,NONE,NONE,NONE,NONE
BD0010,1,Refugee Man,243,731,0x00000001,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDREFGM3,BDPOOL10,,,,,,,0,0,BDREFGM3,ok,1e7a7f123179b31717955b7a038f3b3dee89e1533b709845f9a0987872330275,15,128,252888,8,8,0x00000000,0,BDREFGM3,BDREFGM3,BDCRWDE,NONE,NONE,NONE,NONE
BD0010,2,Refugee Man,409,738,0x00000001,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDREFGM4,BDPOOL10,,,,,,,0,0,BDREFGM4,ok,cc2e25382d1a94fef09dba955135896364190ede06347d9bfb0f1501e567e9c0,15,128,252888,8,8,0x00000000,0,BDREFGM4,BDREFGM4,BDCRWDE,NONE,NONE,NONE,NONE
BD0010,3,Refugee Man,785,620,0x00000001,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDREFGM5,BDPOOL10,BD0010OT,,,,,,0,0,BDREFGM5,ok,119eb807a65e2ee7513a9c4cdaa08ba5f4b9752bb8747e94b571d627067cbed6,15,128,252888,8,8,0x00000000,0,BDREFGM5,BDREFGM5,BDCRWDE,NONE,NONE,NONE,NONE
BD0010,4,Refugee Man,267,778,0x00000001,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDREFGM6,BDPOOL10,,,,,,,0,0,BDREFGM6,ok,2ddbee71cbd6635490dce87461f011456a95a2e5ef8f6e062e986362df71c2aa,15,128,252888,8,8,0x00000000,0,BDREFGM6,BDREFGM6,BDCRWDE,NONE,NONE,NONE,NONE
BD0010,5,Refugee Woman,194,762,0x00000001,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDREFGF4,BDPOOL10,,,,,,,0,0,BDREFGF4,ok,47362928e7b1debe804ba174e7a4cc356a187d4a62bb5abd18250714b5241433,15,128,252888,8,8,0x00000000,0,BDREFGF4,BDREFGF4,BDCRWDE,NONE,NONE,NONE,NONE
BD0010,6,Refugee Woman,620,548,0x00000001,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDREFGF5,BDPOOL10,BD0010OT,,,,,,0,0,BDREFGF5,ok,826ff3137745babd6bf97d6f1b9085ea66c88300835bcd6c0d707a7b18d2157f,15,128,252888,8,8,0x00000000,0,BDREFGF5,BDREFGF5,BDCRWDE,NONE,NONE,NONE,NONE
BD0010,7,Refugee Woman,261,754,0x00000001,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDREFGF6,BDPOOL10,,,,,,,0,0,BDREFGF6,ok,47bfc80d05998fb00c5e14692e98e0066ab4009c458bfc3766938a6f1f80b62a,15,128,252888,8,8,0x00000000,0,BDREFGF6,BDREFGF6,BDCRWDE,NONE,NONE,NONE,NONE
BD0010,8,Refugee Woman,654,601,0x00000001,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDREFGF7,BDPOOL10,,,,,,,0,0,BDREFGF7,ok,55bcaef300eb54a8aa047f2cf7e482e8967bec1a1df0b57a96404a487cbad7dc,15,128,252888,8,8,0x00000000,0,BDREFGF7,BDREFGF7,BDCRWDE,NONE,NONE,NONE,NONE
BD0010,9,NobleWoman,768,1026,0x00000001,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDNOBF1,BDPOOL04,,,,,,,0,0,BDNOBF1,ok,6fa86ba6c7e77ef75a40688506dfd24474a3d8482ccd55ef12851ae17e272342,15,128,209420,8,8,0x00000000,0,BDNOBF1,,BDCRWDF,NONE,NONE,NONE,NONE
BD0010,10,NobleWoman,1268,1126,0x00000001,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDNOBF6,BDPOOL04,,,,,,,0,0,BDNOBF6,ok,11164bb376005b2de1014ede5667de0c3a402cecf0e62a9c24346583b9a961d5,15,128,209420,8,8,0x00000000,0,BDNOBF6,,BDCRWDE,NONE,NONE,NONE,NONE
BD0010,11,Teera_ot_2,678,988,0x00000009,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDNOBF7,BDPOOL04,,,,,,,0,0,BDNOBF7,ok,34b4a15660aeba137f9447a3ba68bb79ce0c56c9c6a5fc22368566152b3e2244,15,128,209420,8,8,0x00000000,0,BDNOBF7,,BDCRWDE,NONE,NONE,NONE,NONE
BD0010,12,NobleMan,1201,1026,0x00000001,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDNOBM3,BDPOOL04,,,,,,,0,0,BDNOBM3,ok,526551047a5e274848c20b48d69bcc34291b680d0992f718c16940c57a9ea307,15,128,209418,8,8,0x00000000,0,BDNOBM3,,BDCRWDE,NONE,NONE,NONE,NONE
BD0010,13,NobleMan,1248,1150,0x00000001,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDNOBM5,BDPOOL04,,,,,,,0,0,BDNOBM5,ok,073ada3f2b60bdc6553db861a196a1455d9a27c830e9351eac7a7e6710d618d9,15,128,209418,8,8,0x00000000,0,BDNOBM5,,BDCRWDE,NONE,NONE,NONE,NONE
BD0010,14,NobleMan,779,1048,0x00000001,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDNOBM6,BDPOOL04,,,,,,,0,0,BDNOBM6,ok,69bbea78ac319ae5436624a7d1fd9c476c0c267501962540645430aa31a1bbfd,15,128,209418,8,8,0x00000000,0,BDNOBM6,,BDCRWDE,NONE,NONE,NONE,NONE
BD0010,15,Teera_ot_1,868,1060,0x00000009,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDNOBM7,BDPOOL04,,,,,,,0,0,BDNOBM7,ok,2592349b15f7df3c6e76708e71d7418b84fdeca37a87ec7b4d58ae1f07a24690,15,128,209418,8,8,0x00000000,0,BDNOBM7,,BDCRWDE,NONE,NONE,NONE,NONE
BD0010,16,Refugee Woman,699,604,0x00000001,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDREFGF1,BDPOOL10,,,,,,,0,0,BDREFGF1,ok,abd4e39a988a86921f5124ef8b86f4f48ec8cbd6f0bbae1ddb6977fe5771822c,15,128,252888,8,8,0x00000000,0,BDREFGF1,BDREFGF1,BDCRWDE,NONE,NONE,NONE,NONE
BD0010,17,Refugee Woman,805,579,0x00000001,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDREFGF7,BDPOOL10,,,,,,,0,0,BDREFGF7,ok,55bcaef300eb54a8aa047f2cf7e482e8967bec1a1df0b57a96404a487cbad7dc,15,128,252888,8,8,0x00000000,0,BDREFGF7,BDREFGF7,BDCRWDE,NONE,NONE,NONE,NONE
BD0010,18,NobleWoman,1012,1067,0x00000001,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDNOBF3,BDPOOL04,,,,,,,0,0,BDNOBF3,ok,3631c1d33548425bf38a7d97b258f75718ed79db37a0d7fc8762a9799d158021,15,128,209420,8,8,0x00000000,0,BDNOBF3,,BDCRWDE,NONE,NONE,NONE,NONE
BD0010,19,Refugee Man,749,618,0x00000001,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDREFGM6,BDPOOL10,,,,,,,0,0,BDREFGM6,ok,2ddbee71cbd6635490dce87461f011456a95a2e5ef8f6e062e986362df71c2aa,15,128,252888,8,8,0x00000000,0,BDREFGM6,BDREFGM6,BDCRWDE,NONE,NONE,NONE,NONE
BD0010,20,NobleMan,905,1052,0x00000001,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDNOBM2,BDPOOL04,,,,,,,0,0,BDNOBM2,ok,8d3aeea59090d8e5730ee79d1755e7a3097a5a6a4f9ffd822386a1208bc0018f,15,128,209418,8,8,0x00000000,0,BDNOBM2,,BDCRWDE,NONE,NONE,NONE,NONE
BD0010,21,Refugee Woman,935,1070,0x00000001,0xFFFFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,BDREFGF1,BDPOOL10,,,,,,,0,0,BDREFGF1,ok,abd4e39a988a86921f5124ef8b86f4f48ec8cbd6f0bbae1ddb6977fe5771822c,15,128,252888,8,8,0x00000000,0,BDREFGF1,BDREFGF1,BDCRWDE,NONE,NONE,NONE,NONE
