area,historical_name,status,in_historical_dataset,area_script,flags_hex,type_hex,actors_total,actors_scheduled,actors_schedule_zero,ea255_scheduled,ea_ge200_scheduled_not_dead,scheduled_dead_state,scheduled_kill_xp_sum,actors_cre_missing,spawn_points,spawn_points_configured_scheduled,regions,rest_configured,rest_has_bdnorest,are_sha256,area_script_literal_create_calls
BD0010,Ducal Palace City Exterior,ok,1,BD0010,0x00000010,0x014F,106,106,0,0,0,0,7531,0,0,0,7,1,1,5589b9097f8a4e49d26c7298f5c198e2f031740438dfb8afbfe8d25c7f7f15a7,25
BD0020,,ok,1,BD0020,0x00000010,0x014F,130,130,0,0,0,0,6300,0,0,0,11,1,1,96be599ae977346051bbc779bb878930b6c2b2ce80dbac52874f64d981f3fc46,37
BD0021,,ok,1,BD0021,0x00000010,0x014F,385,385,0,0,0,0,11277,0,0,0,0,0,0,48ba05808c3e98bb8c3576709aa77bfcbacdc414992224b555770f96a615982e,0
BD0030,,ok,1,BD0030,0x00000010,0x014F,50,50,0,0,0,0,7592,0,0,0,9,1,1,56737b1820c6b92f9966377bd277ca73069872212360fcf8dc090ca8edf3f139,12
BD0035,,ok,1,BD0035,0x00000010,0x010D,182,182,0,0,0,0,22157,0,0,0,0,0,0,6b0e2cbfeff2a9f99048da22bcfa594563026fe319fcdd5cba9304c72dd9f033,0
BD0040,,ok,1,BD0040,0x00000010,0x014F,114,114,0,0,0,1,5827,0,0,0,8,1,1,8720ae745d2e207f8df9fb9a67f1875a630175f1d1793e80efd547d689b5dcd1,25
BD0050,,ok,1,BD0050,0x00000010,0x014F,103,103,0,0,0,0,7070,0,0,0,8,1,1,e3f303f5da92a2736b5901553ad6c9b9fa4eca10064409bbb0868b060a0c1dbd,30
BD0060,,ok,1,BD0060,0x00000030,0x0157,35,35,0,8,8,15,3957,0,0,0,2,1,0,a90744f7b2e3748ae707166a01ecb56e229a0f319d2530d396b055b314058d4f,0
BD0061,,ok,1,BD0061,0x00000010,0x0120,21,21,0,9,8,10,8551,0,0,0,3,1,0,d7723c5c053212278efbd34ad2cb8593e97d8156fa524029a99f80795354eacf,0
BD0062,,ok,1,BD0062,0x00000010,0x0120,14,14,0,5,5,9,4269,0,0,0,2,1,0,d53e8adcf6e20803145d7c993f4cb5e8acf9ccf56eb1564a688991e5b79a5a3f,15
BD0063,,ok,1,BD0063,0x00000030,0x0147,5,5,0,5,5,0,8500,0,0,0,0,0,0,8f192437457d78b0a37972a19455feed2894ad4b84df9224927823a42b63f11d,0
BD0064,,ok,1,BD0064,0x00000010,0x0157,7,7,0,0,0,0,14015,0,0,0,2,1,0,c1c130bf2f8a657bde13586acf9361d029c179c18ba27f44fa71ce1819f5d024,3
BD0065,,ok,1,BD0065,0x00000010,0x0153,0,0,0,0,0,0,0,0,0,0,0,0,0,465142ea2f66c42d075f08e77d7aaee3742ca95508755b0eab44b76d1e269640,0
BD0066,,ok,1,BD0066,0x00000010,0x0157,56,56,0,38,38,10,5193,0,0,0,3,1,0,176996f8014c63a33ea4eb861fba6fba21ea309272b633c6529c52e39a28ec30,0
BD0067,,ok,1,BD0067,0x00000010,0x0120,22,22,0,13,13,9,4830,0,0,0,6,1,0,789abc33e15ee2dadf6b83434541ac28cdab26fa0c9ac8f97fd908c40e9bb029,0
BD0070,,ok,1,BD0070,0x00000010,0x0120,0,0,0,0,0,0,0,0,0,0,0,0,0,d732c979344f3f1f2e40841b151d98f20cf47a5dd102a87d215087cb980d087a,0
BD0071,,ok,1,BD0071,0x00000010,0x0157,0,0,0,0,0,0,0,0,0,0,0,0,0,4eaf2488c5754ee41ee1c855477e739a7f2fb6530cf435b2fb046fed327df0a5,0
BD0072,,ok,1,BD0072,0x00000010,0x0100,0,0,0,0,0,0,0,0,0,0,0,0,0,c3fd62dd789a2e4fc2b6868854c943b9ef3e8b79fe20a8bbf14846dedc615fa7,0
BD0100,,ok,1,BD0100,0x00000010,0x0100,9,0,9,0,0,0,0,0,0,0,7,0,0,2702ab713daeaf9a307bf424ec28966568ebb8e4c3391069c0cef2023b8f402a,14
BD0101,,ok,1,BD0101,0x00000010,0x014F,412,412,0,0,0,0,26594,0,0,0,3,0,0,d394d8c34025debceead012a3b0315206e1acc2537b58808b86bdebeb969521d,19
BD0102,,ok,1,BD0102,0x00000010,0x0100,4,4,0,0,0,0,1680,0,0,0,9,0,0,09a640a149f07de090bcb7c3af5e8726e6eb1d011a2428b59a1c683d09023e14,83
BD0103,,ok,1,BD0103,0x00000010,0x0180,1,1,0,0,0,0,0,0,0,0,7,0,0,a56559d03bd28606cc11da2001c80ee6efdf1deddb7a71bcd540c14649353da1,12
BD0104,Flaming Fist HQ,ok,1,BD0104,0x00000010,0x0100,56,56,0,0,0,0,9739,0,0,0,8,0,0,f818fc33e4f7fa285f1ecef5b9b5e39a1d57a9305e54c4ccb21a9ef21aa3d82f,5
BD0105,,ok,1,BD0105,0x00000010,0x0100,0,0,0,0,0,0,0,0,0,0,5,0,0,ca71e12fa4d6f6081bdbc3e1dd7c5f34f4fecaa7871f3637a286cfe66c24ecf6,0
BD0106,,ok,1,BD0106,0x00000010,0x0100,32,32,0,0,0,0,8850,0,0,0,3,0,0,9d02d4398627a00ac09ff41c0d69f4c58715d4b19f8274291395a6fffa9d359b,8
BD0107,,ok,1,BD0107,0x00000010,0x0100,18,18,0,0,0,0,1815,0,0,0,4,0,0,57a2b9a3758ab4dfd0bf23e6ceeff95b1ebd07695e9d29d6a6ff899a05e7ee3e,8
BD0108,,ok,1,BD0108,0x00000010,0x0100,6,6,0,0,0,0,60,0,0,0,3,0,0,4ce19b88d1457f6c36c4dd0a74359e4271ba1b1245497e53b0e711fa40292325,4
BD0109,,ok,1,BD0109,0x00000010,0x0100,28,28,0,0,0,0,13470,0,0,0,4,0,0,f480b83df652f70b7344126f643b77f35274de71a44c71d2957c9f9548ce4ed9,8
BD0110,,ok,1,BD0110,0x00000010,0x0100,21,21,0,0,0,0,1277,0,0,0,6,0,0,14a1461a8ebae5333fa5847aea6c110fb29aea617ba1b1a8509ce206fecce84e,1
BD0111,,ok,1,BD0111,0x00000010,0x0100,28,28,0,0,0,0,4281,0,0,0,11,0,0,08c267d36812a531e2936bc8c7950ef8bc5cbb48f1b0c03f28b4c3ab00e4ee72,1
BD0112,,ok,1,BD0112,0x00000010,0x010D,389,389,0,0,0,0,11137,0,0,0,0,0,0,16cfeb1c6b76129fc49dae3981d95b9c60e55dd3f617da7bcf688c24cfbbd02a,0
BD0113,,ok,1,BD0113,0x00000010,0x0120,4,4,0,4,4,0,5600,0,0,0,2,1,0,400f3fefb3e8f938223b2602c5e61dff75bcd250070c3c5b32d1accfd5806e2e,0
BD0114,,ok,1,BD0114,0x00000010,0x0120,40,40,0,40,40,0,47515,0,0,0,20,1,0,9b2ff036ccf820f96ca507c251257ec943d9fd2e185fdba3afa3e10c7a765c4a,2
BD0115,,ok,1,BD0115,0x00000010,0x0120,0,0,0,0,0,0,0,0,0,0,2,1,0,5dea4ef8d21832b45847b36d87a678e8a67e9cf4abb147f3adac0f06221b243a,0
BD0116,,ok,1,BD0116,0x00000010,0x0100,10,10,0,0,0,0,213,0,0,0,5,0,0,0c83cb376342c380434e4aebcfa6b36f43b0cfe40ce1ba00753e2927bb223420,9
BD0117,,ok,1,BD0117,0x00000010,0x0100,0,0,0,0,0,0,0,0,0,0,3,0,0,220547b4a00187bc8291f52ed1ab50b479115a4a17ce0b4c7adf976769a645d5,1
