area,kind,source,placed_count,ea,xp_per_creature,item,charges,flags,instance_undroppable
BD0113,creature,BDWYRML1,3,255,1400,S1-8,0|0|0,0,False
BD0113,creature,BDWYRML1,3,255,1400,BDWYRMLI,0|0|0,0,False
BD0113,creature,BDWYRML1,3,255,1400,RNDTRE08,0|0|0,2,False
BD0113,creature,BDWYRMLI,1,255,1400,S1-8,0|0|0,0,False
BD0113,creature,BDWYRMLI,1,255,1400,BDWYRMLI,0|0|0,0,False
BD0113,creature,BDWYRMLI,1,255,1400,RNDTRE08,0|0|0,2,False
BD0113,creature,BDWYRMLI,1,255,1400,BDSW1HDA,0|0|0,2,False
BD0113,creature,BDWYRMLI,1,255,1400,BDDAGG05,0|0|0,2,False
BD0113,container,Niche,1,,,BDBOOKNJ,0|0|0,0,False
BD0113,container,Niche,1,,,OHRGEM01,0|0|0,0,False
BD7310,creature,BDSHAD04,5,255,420,IMMUNE1,0|0|0,10,True
BD7310,creature,BDSHAD04,5,255,420,RING95,0|0|0,10,True
BD7310,creature,BDSHAD04,5,255,420,SHADOWWP,0|0|0,10,True
BD7310,creature,BDSHADGR,2,255,3000,IMMUNE1,0|0|0,10,True
BD7310,creature,BDSHADGR,2,255,3000,RING95,0|0|0,10,True
BD7310,creature,BDSHADGR,2,255,3000,BDSHADGA,0|0|0,10,True
BD7310,creature,BDSHADGR,2,255,3000,BDSHADGR,0|0|0,10,True
BD7310,creature,BDWRAI02,2,255,2000,IMMUNE1,0|0|0,0,False
BD7310,creature,BDWRAI02,2,255,2000,RING95,0|0|0,10,True
BD7310,creature,BDWRAI02,2,255,2000,MAGE01,0|0|0,10,True
BD7310,creature,BDWRAI02,2,255,2000,WRAITH1,0|0|0,0,False
BD7310,container,Table01,1,,,RNDTRE07,0|0|0,0,False
BD7310,container,Chest01,1,,,BDAMUL01,0|0|0,0,False
BD7310,container,Chest01,1,,,SCRL6G,0|0|0,0,False
BD7310,container,Chest01,1,,,SCRL6X,0|0|0,0,False
BD7310,container,Alcove,1,,,BDSILK01,0|0|0,0,False
BD7400,creature,BD302BAS,1,255,7000,BASILG1,0|0|0,0,False
BD7400,creature,BD302BAS,1,255,7000,BASILG2,0|0|0,0,False
BD7400,creature,BD302BAS,1,255,7000,BASILG3,0|0|0,0,False
BD7400,creature,BD302BAS,1,255,7000,BDMISC33,0|0|0,0,False
BD7400,creature,BDCHALME,1,128,15,MISC23,0|0|0,0,False
BD7400,creature,BDCHALME,1,128,15,AMUL11,0|0|0,0,False
BD7400,creature,BDCHALME,1,128,15,CHAN01,0|0|0,0,False
BD7400,creature,BDCHALME,1,128,15,SW1H01,0|999|0,0,False
BD7400,creature,BDCHALME,1,128,15,SHLD18,0|0|0,0,False
BD7400,creature,BDCHALME,1,128,15,MISC18,0|0|0,0,False
BD7400,creature,BDGRIZHU,1,128,420,S1-8,0|0|0,0,False
BD7400,creature,BDLORDDU,1,128,15,RING10,0|0|0,0,False
BD7400,creature,BDONORO,1,128,120,STAF01,0|0|0,0,False
BD7400,creature,BDSHAMB,1,255,6000,BDPLANT,0|0|0,10,True
BD7400,creature,BDSHAMB,1,255,6000,IPSION,0|0|0,10,True
BD7400,creature,BDSHAMB,1,255,6000,BDSHAMB,0|0|0,10,True
BD7400,creature,BDSKGR05,1,255,300,SHLD01A,0|0|0,10,True
BD7400,creature,BDSKGR05,1,255,300,RING95,0|0|0,10,True
BD7400,creature,BDSKGR05,1,255,300,BDSKGR05,0|0|0,10,True
BD7400,creature,BDSKGR06,2,255,300,RING95,0|0|0,10,True
BD7400,creature,BDSKGR06,2,255,300,BOW03,0|0|0,0,False
BD7400,creature,BDSKGR06,2,255,300,BDSKGR05,0|0|0,10,True
BD7400,creature,BDSKGR06,2,255,300,AROW08,3|0|0,0,False
BD7400,creature,BDSKGR06,2,255,300,AROW02,5|0|0,0,False
BD7400,creature,BDSKGR06,2,255,300,AROW01,40|0|0,0,False
BD7400,creature,BDSKGR07,1,255,900,RNDSCR04,0|0|0,0,False
BD7400,creature,BDSKGR07,1,255,900,DART01,40|0|0,0,False
BD7400,creature,BDSKGR07,1,255,900,DAGG01,0|0|0,0,False
BD7400,creature,BDSKGR07,1,255,900,RING95,0|0|0,10,True
BD7400,creature,BDTREANT,2,255,4000,BDPLANT,0|0|0,10,True
BD7400,creature,BDTREANT,2,255,4000,IPSION,0|0|0,10,True
BD7400,creature,BDTREANT,2,255,4000,BDTREANT,0|0|0,10,True
BD7400,creature,BDWIGHT2,2,255,1200,RING95,0|0|0,10,True
BD7400,creature,BDWIGHT2,2,255,1200,IMMUNE1,0|0|0,10,True
BD7400,creature,BDWIGHT2,2,255,1200,BDWIGHT,0|0|0,10,True
BD7400,creature,BDWIGHT3,4,255,1400,RING95,0|0|0,10,True
BD7400,creature,BDWIGHT3,4,255,1400,IMMUNE1,0|0|0,10,True
BD7400,creature,BDWIGHT3,4,255,1400,BDWIGHT3,0|0|0,10,True
BD7400,creature,CORPSE1,1,127,0,LEAT04,0|0|0,0,False
BD7400,creature,CORPSE1,1,127,0,SHLD01A,0|0|0,0,False
BD7400,creature,CORPSE1,1,127,0,HELM01,0|0|0,0,False
BD7400,creature,CORPSE1,1,127,0,DAGG01,0|0|0,0,False
BD7400,creature,CORPSE2,1,127,0,STAF01,0|0|0,0,False
BD7400,creature,CORPSE2,1,127,0,CLCK09,0|0|0,0,False
BD7400,creature,CORPSE2,1,127,0,DART01,10|0|0,0,False
BD7400,creature,GHAST,2,255,650,RNDTRE08,0|0|0,0,False
BD7400,creature,GHAST,2,255,650,GHAST1,0|0|0,0,False
BD7400,creature,GHAST,2,255,650,RING95,0|0|0,0,False
BD7400,creature,MOOSE01,1,128,65,P1-10,0|0|0,10,True
BD7400,container,Mothers_journal,1,,,BDBOOK12,0|0|0,0,False
BD7400,container,Dead_mage,1,,,WAND02,10|0|0,0,False
BD7400,container,Dead_mage,1,,,SCRL7C,0|0|0,0,False
BD7400,container,Dead_mage,1,,,BDAMUL06,1|0|0,0,False
BD7400,container,Gem_cache,1,,,RNDGEM03,10|0|0,0,False
BD7400,container,Gem_cache,1,,,RNDGEM04,0|0|0,0,False
BD7410,creature,BDWOLFDR,4,255,420,BDWOLFD1,0|0|0,0,False
BD7410,creature,BDWOLFDR,4,255,420,TROLLIMM,0|0|0,0,False
BD7410,creature,BDWOLFDR,4,255,420,BDWOLFDR,0|0|0,0,False
BD7410,creature,BDWOLFVA,4,255,2000,IMMUNE1,0|0|0,10,True
BD7410,creature,BDWOLFVA,4,255,2000,RING95,0|0|0,10,True
BD7410,creature,BDWOLFVA,4,255,2000,BDWOLFVA,0|0|0,10,True
BD7410,creature,SKELDED,2,128,0,RNDMAG03,0|0|0,0,False
BD7410,creature,VAMFLM01,1,255,8000,DW#BLDD,0|0|0,0,False
BD7410,creature,VAMFLM01,1,255,8000,DW#VMBAT,0|0|0,0,False
BD7410,creature,VAMFLM01,1,255,8000,DW#VMWOL,0|0|0,0,False
BD7410,creature,VAMFLM01,1,255,8000,VAMPREG,0|0|0,0,False
BD7410,creature,VAMFLM01,1,255,8000,IMMUNE2,0|0|0,0,False
BD7410,creature,VAMFLM01,1,255,8000,VAMP,0|0|0,10,True
BD7410,creature,WOLF,5,255,65,P1-4,0|0|0,0,False
BD7410,container,Chest_01,1,,,BDHAMM01,0|0|0,0,False
BD7410,container,Chest_01,1,,,SHLD28A,0|0|0,0,False
BD7410,container,Chest_01,1,,,SCRL1U,0|0|0,0,False
BD7410,container,Chest_02,1,,,MISC45,0|0|0,0,False
BD7410,container,Chest_02,1,,,RNDGEM02,0|0|0,0,False
BD7410,container,Chest_02,1,,,RNDGEM01,0|0|0,0,False
BD7410,container,Chest_02,1,,,MISC07,1000|0|0,0,False
BD7410,container,Crate01,1,,,POTN23,0|0|0,0,False
BD7410,container,Crate01,1,,,RNDARO02,20|0|0,0,False
BD7410,container,Crate01,1,,,RNDTRE06,0|0|0,0,False
BD5110,creature,BDGHOSTF,1,128,4000,BDRINGGH,0|0|0,0,False
BD5110,creature,BDGHOSTF,1,128,4000,BDGHOST,1|0|0,0,False
BD5110,creature,BDGHOSTM,1,128,4000,BDRINGGH,0|0|0,0,False
BD5110,creature,BDGHOSTM,1,128,4000,BDGHOST,1|0|0,0,False
BD5110,creature,BDLITLA,1,128,4000,BDSW1HGH,1|0|0,11,True
BD5110,creature,BDLITLA,1,128,4000,BDDAGG04,20|0|0,11,True
BD5110,creature,BDLITLA,1,128,4000,BDRINGGH,0|0|0,0,False
BD5110,creature,BDLITLA,1,128,4000,BDCLCKGH,0|0|0,0,False
