cre_key,index,item,flags_hex,undroppable,charges1,charges2,charges3
BDFISTCC,0,HELM09,0x00000000,0,0,0,0
BDFISTCC,1,PLAT01,0x00000000,0,0,0,0
BDFISTCC,2,SHLD01A,0x00000000,0,0,0,0
BDFISTCC,3,SW1H04,0x00000000,0,0,0,0
BDFISTCC,4,UNIFLAM,0x0000000A,1,0,0,0
BDFISTCC,5,POTN08,0x00000000,0,0,0,0
BDFISTCC,6,RNDPTN01,0x00000000,0,0,0,0
BDFISTCL,0,HELM09,0x00000000,0,0,0,0
BDFISTCL,1,PLAT01,0x00000000,0,0,0,0
BDFISTCL,2,SHLD01A,0x00000000,0,0,0,0
BDFISTCL,3,SW1H04,0x00000000,0,0,0,0
BDFISTCL,4,UNIFLAM,0x0000000A,1,0,0,0
BDFISTCL,5,POTN08,0x00000000,0,0,0,0
BDFISTCL,6,RNDPTN01,0x00000000,0,0,0,0
BDSCHAEL,0,HELM13,0x00000001,0,0,0,0
BDSCHAEL,1,BDCHAN05,0x00000003,0,0,0,0
BDSCHAEL,2,MINHP1,0x0000000A,1,0,0,0
BDSCHAEL,3,SW1H04,0x00000002,0,0,0,0
BDSCHAEL,4,BDBOW06,0x00000003,0,0,0,0
BDSCHAEL,5,AROW11,0x00000003,0,80,0,0
BDSCHAEL,6,AROW11,0x00000003,0,80,0,0
BDSCHAEL,7,POTN52,0x00000003,0,1,0,0
BDSCHAEL,8,POTN17,0x00000003,0,1,0,0
BDSCHAEL,9,POTN09,0x00000003,0,1,0,0
BDSCHAEL,10,AROW11,0x00000003,0,80,0,0
BDSCHAEL,11,DW#HASPT,0x00000000,0,0,0,0
BDSCHAEL,12,DW#RND11,0x00000000,0,0,0,0
BDDOG,0,P1-3,0x00000000,0,0,0,0
BDNOREST,0,MAGE01,0x00000000,0,0,0,0
BDNOREST,1,IMOENHP1,0x00000000,0,0,0,0
BDFFVIDA,0,HELM09,0x00000000,0,0,0,0
BDFFVIDA,1,PLAT01,0x00000000,0,0,0,0
BDFFVIDA,2,HALB01,0x00000000,0,0,0,0
BDFFVIDA,3,UNIFLAM,0x00000000,0,0,0,0
BDBGUARD,0,SW2H02,0x00000000,0,0,0,0
BDBGUARD,1,POTN08,0x00000000,0,0,0,0
BDBGUARD,2,CHAN04,0x00000000,0,0,0,0
BDBGUARD,3,POTN09,0x00000000,0,1,0,0
BDBGUARD,4,HELM01,0x00000000,0,0,0,0
BDBGUARD,5,DW#HASPT,0x00000000,0,0,0,0
BDBGUARD,6,DW#RND12,0x00000000,0,0,0,0
CAT,0,B1-2,0x00000000,0,0,0,0
BDFISTXX,0,HELM09,0x00000000,0,0,0,0
BDFISTXX,1,PLAT01,0x00000000,0,0,0,0
BDFISTXX,2,SHLD05A,0x00000000,0,0,0,0
BDFISTXX,3,SW1H04,0x00000000,0,0,0,0
BDFISTXX,4,UNIFLAM,0x00000000,0,0,0,0
BDKIERAN,0,RING10,0x00000000,0,0,0,0
BDBELT,0,CHAN02,0x00000000,0,0,0,0
BDBELT,1,SHLD04A,0x00000000,0,0,0,0
BDBELT,2,SW1H02,0x00000000,0,0,999,0
BDBELT,3,RING19,0x00000000,0,0,0,0
BDBELT,4,MINHP1,0x00000000,0,0,0,0
BDBELT,5,DW#RND08,0x00000000,0,0,0,0
BDBELT,6,DW#RND16,0x00000000,0,0,0,0
BDBELT,7,DW#RND30,0x00000000,0,0,0,0
BDENTAR,0,PLAT04,0x00000000,0,0,0,0
BDENTAR,1,SHLD03A,0x00000000,0,0,0,0
BDENTAR,2,SW1H05,0x00000000,0,0,0,0
BDENTAR,3,POTN07,0x00000000,0,0,0,0
BDENTAR,4,MISC42,0x00000000,0,0,0,0
BDENTAR,5,MINHP1,0x00000000,0,0,0,0
BDENTAR,6,DW#RND08,0x00000000,0,0,0,0
BDENTAR,7,DW#RND16,0x00000000,0,0,0,0
BDENTAR,8,DW#RND30,0x00000000,0,0,0,0
BDBENCE,0,HELM09,0x00000000,0,0,0,0
BDBENCE,1,PLAT04,0x00000000,0,0,0,0
BDBENCE,2,SHLD06A,0x00000000,0,0,0,0
BDBENCE,3,BDRING06,0x00000000,0,0,0,0
BDBENCE,4,MINHP1,0x0000000A,1,0,0,0
BDBENCE,5,SW1H02,0x00000000,0,0,999,0
BDBENCE,6,UNIFLAM,0x00000000,0,0,0,0
BDBENCE,7,POTN52,0x00000000,0,2,0,0
BDBENCE,8,DW#HASPT,0x00000000,0,0,0,0
BDBENCE,9,DW#RND12,0x00000000,0,0,0,0
BDBENCE,10,DW#RND26,0x00000000,0,0,0,0
BDGU1697,0,HELM15_,0x00000000,0,0,0,0
BDGU1697,1,CHAN04,0x00000000,0,0,0,0
BDGU1697,2,HALB01,0x00000000,0,0,0,0
CUTSPY,0,MAGE01,0x00000000,0,0,0,0
CUTSPY,1,IMOENHP1,0x00000000,0,0,0,0
BDFF1697,0,HELM09,0x00000000,0,0,0,0
BDFF1697,1,PLAT01,0x00000000,0,0,0,0
BDFF1697,2,SHLD01A,0x00000000,0,0,0,0
BDFF1697,3,SW1H04,0x00000000,0,0,0,0
BDFF1697,4,UNIFLAM,0x00000000,0,0,0,0
BDDIRLA,0,LEAT04,0x00000000,0,0,0,0
BDDIRLA,1,BRAC05,0x00000000,0,0,0,0
BDDIRLA,2,BLUN01,0x00000000,0,0,0,0
BDDIRLA,3,SW1H07,0x00000000,0,0,0,0
BDDIRLA,4,HELM01,0x00000000,0,0,0,0
BDGOLT,0,LEAT01,0x00000000,0,0,0,0
BDGOLT,1,DART01,0x00000000,0,20,0,0
BDGOLT,2,SW1H07,0x00000000,0,0,0,0
BDGOLT,3,POTN08,0x00000000,0,0,0,0
BDGOLT,4,RNDTRE09,0x00000000,0,0,0,0
BDGOLT,5,DW#HASPT,0x00000000,0,0,0,0
BDGOLT,6,DW#RND18,0x00000000,0,0,0,0
BDGOLT,7,DW#RND37,0x00000000,0,0,0,0
BDLLUIS,0,CHAN01,0x00000000,0,0,0,0
BDLLUIS,1,SW1H04,0x00000000,0,0,0,0
BDLLUIS,2,POTN08,0x00000000,0,3,0,0
BDLLUIS,3,HELM01,0x00000000,0,0,0,0
BDLLUIS,4,DW#HASPT,0x00000000,0,0,0,0
BDLLUIS,5,DW#RND12,0x00000000,0,0,0,0
BDLLUIS,6,DW#RND26,0x00000000,0,0,0,0
BDASERY,0,HELM01,0x00000000,0,0,0,0
BDASERY,1,CHAN04,0x00000000,0,0,0,0
BDASERY,2,HAMM01,0x00000001,0,0,0,0
BDASERY,3,POTN08,0x00000000,0,2,0,0
BDASERY,4,POTN09,0x00000000,0,1,0,0
BDASERY,5,DW#HASPT,0x00000000,0,0,0,0
BDASERY,6,DW#RND12,0x00000000,0,0,0,0
BDRIGGS,0,HELM09,0x00000000,0,0,0,0
BDRIGGS,1,PLAT01,0x00000000,0,0,0,0
BDRIGGS,2,SHLD05A,0x00000000,0,0,0,0
BDRIGGS,3,SW1H04,0x00000000,0,0,0,0
BDRIGGS,4,UNIFLAM,0x00000000,0,0,0,0
BDURE1A,0,LEAT04,0x00000000,0,0,0,0
BDURE1A,1,HALB01,0x00000000,0,0,0,0
BDURE1A,2,RNDGEM02,0x00000000,0,0,0,0
BDURE1B,0,LEAT01,0x00000000,0,0,0,0
BDURE1B,1,BOW01,0x00000000,0,0,0,0
BDURE1B,2,SPER01,0x00000000,0,0,0,0
BDURE1B,3,AROW01,0x00000000,0,40,0,0
BDURE1B,4,AROW01,0x00000000,0,40,0,0
BDURE1B,5,AROW08,0x00000000,0,40,0,0
BDURE1B,6,RNDTRI02,0x00000000,0,0,0,0
BDURE1C,0,LEAT10,0x00000002,0,0,0,0
BDURE1C,1,STAF01,0x00000002,0,0,0,0
BDURE1C,2,SLNG01,0x00000002,0,0,0,0
BDURE1C,3,BULL01,0x00000000,0,40,0,0
BDURE1C,4,RNDGEM02,0x00000000,0,0,0,0
TROLL01,0,TROLL01,0x00000000,0,0,0,0
TROLL01,1,TROLLBOO,0x00000000,0,0,0,0
TROLL01,2,TROLLIMM,0x00000000,0,0,0,0
TROLL01,3,TROLLREG,0x00000000,0,0,0,0
BDORC1D,0,HELM01,0x00000000,0,0,0,0
BDORC1D,1,LEAT04,0x00000000,0,0,0,0
BDORC1D,2,SHLD01A,0x00000000,0,0,0,0
BDORC1D,3,DAGG01,0x00000000,0,0,0,0
BDORC2D,0,HELM01,0x00000000,0,0,0,0
BDORC2D,1,LEAT04,0x00000000,0,0,0,0
BDORC2D,2,SHLD01A,0x00000000,0,0,0,0
BDORC2D,3,DAGG01,0x00000000,0,0,0,0
BDTROL1D,0,HELM01,0x00000000,0,0,0,0
BDTROL1D,1,LEAT04,0x00000000,0,0,0,0
BDTROL1D,2,SHLD01A,0x00000000,0,0,0,0
BDTROL1D,3,DAGG01,0x00000000,0,0,0,0
BDTROL2D,0,HELM01,0x00000000,0,0,0,0
BDTROL2D,1,LEAT04,0x00000000,0,0,0,0
BDTROL2D,2,SHLD01A,0x00000000,0,0,0,0
BDTROL2D,3,DAGG01,0x00000000,0,0,0,0
BDBEETBM,0,S1-12,0x00000000,0,0,0,0
BDWOLF02,0,P1-4,0x00000000,0,0,0,0
ORC01_,0,LEAT04,0x00000000,0,0,0,0
ORC01_,1,HALB01,0x00000000,0,0,0,0
TROLLSM,0,TROLL01,0x00000000,0,0,0,0
TROLLSM,1,TROLLBOO,0x00000000,0,0,0,0
TROLLSM,2,TROLLIMM,0x00000000,0,0,0,0
TROLLSM,3,TROLLREG,0x00000000,0,0,0,0
TROLFR01,0,TROLL01,0x00000000,0,0,0,0
TROLFR01,1,TROLLBOO,0x00000000,0,0,0,0
TROLFR01,2,TROLLIMM,0x00000000,0,0,0,0
TROLFR01,3,TROLLREG,0x00000000,0,0,0,0
CORPSE1,0,LEAT04,0x00000000,0,0,0,0
CORPSE1,1,SHLD01A,0x00000000,0,0,0,0
CORPSE1,2,HELM01,0x00000000,0,0,0,0
CORPSE1,3,DAGG01,0x00000000,0,0,0,0
SKELDED,0,RNDMAG03,0x00000000,0,0,0,0
BDDEADOG,0,P1-4,0x00000000,0,0,0,0
TROLLGI,0,TROLL01,0x00000000,0,0,0,0
TROLLGI,1,TROLLBOO,0x00000000,0,0,0,0
TROLLGI,2,TROLLIMM,0x00000000,0,0,0,0
TROLLGI,3,TROLLREG,0x00000000,0,0,0,0
CORPSE2,0,STAF01,0x00000000,0,0,0,0
CORPSE2,1,CLCK09,0x00000000,0,0,0,0
CORPSE2,2,DART01,0x00000000,0,10,0,0
DEAD2,0,LEAT04,0x00000000,0,0,0,0
DEAD2,1,SW1H04,0x00000000,0,0,0,0
DEAD2,2,BOW03,0x00000000,0,0,0,0
DEAD2,3,AROW01,0x00000000,0,20,0,0
BDURE2A,0,BDSW1H21,0x00000002,0,1,0,0
BDURE2A,1,LEAT08,0x00000002,0,0,0,0
BDURE2A,2,POTN52,0x00000002,0,1,0,0
BDURE2A,3,BDURE2A,0x00000002,0,0,0,0
BDURE2A,4,DW#HASPT,0x00000000,0,0,0,0
BDURE2A,5,DW#RND20,0x00000000,0,0,0,0
BDURE2A,6,DW#RND42,0x00000000,0,0,0,0
BDURE2B,0,AX1H01,0x00000000,0,1,999,0
BDURE2B,1,AX1H02,0x00000002,0,1,999,0
BDURE2B,2,BDHELMJ3,0x00000002,0,0,0,0
BDURE2B,3,CHAN04,0x00000002,0,0,0,0
BDURE2B,4,POTN52,0x00000002,0,2,0,0
BDURE2B,5,POTN08,0x00000002,0,2,0,0
BDURE2B,6,DW#HASPT,0x00000000,0,0,0,0
BDURE2B,7,DW#RND11,0x00000000,0,0,0,0
BDURE2C,0,SW1H43,0x00000002,0,0,999,0
BDURE2C,1,POTN52,0x00000002,0,2,0,0
BDURE2C,2,POTN08,0x00000002,0,2,0,0
BDURE2C,3,DW#HASPT,0x00000000,0,0,0,0
BDURE2C,4,DW#RND11,0x00000000,0,0,0,0
BDURE2C,5,DW#RND26,0x00000000,0,0,0,0
BDURE2D,0,BDHELM08,0x00000002,0,0,0,0
BDURE2D,1,PLAT01,0x00000002,0,0,0,0
BDURE2D,2,XBOW01,0x00000002,0,0,0,0
BDURE2D,3,SPER01,0x00000002,0,0,0,0
BDURE2D,4,BOLT04,0x00000002,0,20,0,0
BDURE2D,5,BOLT03,0x00000002,0,20,0,0
BDURE2D,6,BOLT02,0x00000002,0,80,0,0
BDURE2D,7,POTN08,0x00000002,0,1,0,0
BDURE2E,0,LEAT04,0x00000002,0,0,0,0
BDURE2E,1,BOW03,0x00000002,0,0,0,0
BDURE2E,2,HALB01,0x00000002,0,0,0,0
BDURE2E,3,AROW05,0x00000002,0,20,0,0
BDURE2E,4,AROW10,0x00000002,0,20,0,0
BDURE2E,5,AROW02,0x00000002,0,80,0,0
BDURE2E,6,POTN08,0x00000002,0,1,0,0
BDURE4A,0,BDIMMGAS,0x0000000A,1,0,0,0
BDURE4A,1,BDDRGGRY,0x0000000A,1,0,0,0
BDURE4B,0,BDGIANHI,0x0000000A,1,0,0,0
BDURE4B,1,RNDGEM02,0x00000000,0,0,0,0
BDURE4B,2,DW#RND06,0x00000000,0,0,0,0
BDURE4B,3,DW#RND20,0x00000000,0,0,0,0
BDURE4C,0,BDGIANHI,0x0000000A,1,0,0,0
BDURE4C,1,RNDTRI02,0x00000000,0,0,0,0
BDURE4C,2,DW#RND06,0x00000000,0,0,0,0
BDURE4C,3,DW#RND20,0x00000000,0,0,0,0
BDGIANHI,0,BDGIANHI,0x0000000A,1,0,0,0
BDGIANHI,1,DW#RND06,0x00000000,0,0,0,0
BDGIANHI,2,DW#RND20,0x00000000,0,0,0,0
BDGOB03,0,HELMNOAN,0x0000000A,1,0,0,0
BDGOB03,1,BLUN06,0x00000002,0,0,0,0
BDGOB03,2,POTN08,0x00000002,0,2,0,0
BDGOB03,3,POTN44,0x00000002,0,1,0,0
BDGOB03,4,RNDTRI02,0x00000000,0,0,0,0
BDGOB04,0,STAF01,0x00000000,0,0,0,0
BDGOB04,1,RNDTRI03,0x00000000,0,0,0,0
BDGOB02,0,SHLD01A,0x00000002,0,0,0,0
BDGOB02,1,AX1H01,0x00000002,0,0,999,0
BDGOB02,2,0,0x00000002,0,0,0,0
BDGOB01,0,BOW05,0x00000002,0,0,0,0
BDGOB01,1,DAGG01,0x00000002,0,0,0,0
BDGOB01,2,AROW01,0x00000002,0,40,0,0
