script,line,action,cre_or_group,reference_kind,cre_available
BD0010.BCS,104,CreateCreature,BDOPHYLL,cre,1
BD0010.BCS,124,CreateCreature,BDOPHYLL,cre,1
BD0010.BCS,180,CreateCreature,BDCOMM1,cre,1
BD0010.BCS,186,CreateCreature,BDCOMM2,cre,1
BD0010.BCS,192,CreateCreature,BDCOMF1,cre,1
BD0010.BCS,198,CreateCreature,BDNOBF1,cre,1
BD0010.BCS,204,CreateCreature,BDNOBM2,cre,1
BD0010.BCS,216,CreateCreature,BDFATWOM,cre,1
BD0010.BCS,222,CreateCreature,BDNOBM5,cre,1
BD0010.BCS,228,CreateCreature,BDCOMF2,cre,1
BD0010.BCS,234,CreateCreature,BDCOMF5,cre,1
BD0010.BCS,240,CreateCreature,BDNOBM4,cre,1
BD0010.BCS,252,CreateCreature,BDCOMM6,cre,1
BD0010.BCS,258,CreateCreature,BDCOMF6,cre,1
BD0010.BCS,264,CreateCreature,BDCOMF4,cre,1
BD0010.BCS,270,CreateCreature,BDNOBF6,cre,1
BD0010.BCS,276,CreateCreature,BDNOBM7,cre,1
BD0010.BCS,288,CreateCreature,BDFISTCC,cre,1
BD0010.BCS,294,CreateCreature,BDFATMAN,cre,1
BD0010.BCS,300,CreateCreature,BDGIRL,cre,1
BD0010.BCS,306,CreateCreature,BDNOBF3,cre,1
BD0010.BCS,318,CreateCreature,BDBOY,cre,1
BD0010.BCS,324,CreateCreature,BDDWARF,cre,1
BD0010.BCS,330,CreateCreature,BDNOBM7,cre,1
BD0010.BCS,336,CreateCreature,BDNOBF7,cre,1
BD0020.BCS,51,CreateCreature,BDZELMA,cre,1
BD0020.BCS,74,CreateCreature,BDTHUG06,cre,1
BD0020.BCS,150,CreateCreature,BDCOMM1,cre,1
BD0020.BCS,156,CreateCreature,BDCOMM3,cre,1
BD0020.BCS,162,CreateCreature,BDCOMF1,cre,1
BD0020.BCS,168,CreateCreature,BDNOBM1,cre,1
BD0020.BCS,174,CreateCreature,BDFATMAN,cre,1
BD0020.BCS,180,CreateCreature,BDNOBM2,cre,1
BD0020.BCS,192,CreateCreature,BDCOMM2,cre,1
BD0020.BCS,198,CreateCreature,BDCOMM4,cre,1
BD0020.BCS,204,CreateCreature,BDCOMF2,cre,1
BD0020.BCS,210,CreateCreature,BDNOBF1,cre,1
BD0020.BCS,216,CreateCreature,BDFATWOM,cre,1
BD0020.BCS,222,CreateCreature,BDNOBM3,cre,1
BD0020.BCS,234,CreateCreature,BDCOMM5,cre,1
BD0020.BCS,240,CreateCreature,BDCOMF7,cre,1
BD0020.BCS,246,CreateCreature,BDCOMF6,cre,1
BD0020.BCS,252,CreateCreature,BDNOBF6,cre,1
BD0020.BCS,258,CreateCreature,BDNOBM7,cre,1
BD0020.BCS,264,CreateCreature,BDDWARF,cre,1
BD0020.BCS,276,CreateCreature,BDCOMM6,cre,1
BD0020.BCS,282,CreateCreature,BDCOMF3,cre,1
BD0020.BCS,288,CreateCreature,BDCOMF5,cre,1
BD0020.BCS,294,CreateCreature,BDNOBF7,cre,1
BD0020.BCS,300,CreateCreature,BDNOBM4,cre,1
BD0020.BCS,306,CreateCreature,BDNOBM1,cre,1
BD0020.BCS,318,CreateCreature,BDGIRL,cre,1
BD0020.BCS,324,CreateCreature,BDCOMM2,cre,1
BD0020.BCS,330,CreateCreature,BDCOMF6,cre,1
BD0020.BCS,336,CreateCreature,BDNOBF7,cre,1
BD0020.BCS,342,CreateCreature,BDNOBM4,cre,1
BD0020.BCS,348,CreateCreature,BDBOY,cre,1
BD0020.BCS,360,CreateCreature,BDCOMM7,cre,1
BD0020.BCS,365,CreateCreature,BDCOMF4,cre,1
BD0020.BCS,371,CreateCreature,BDCOMF7,cre,1
BD0020.BCS,376,CreateCreature,BDCOMM4,cre,1
BD0020.BCS,382,CreateCreature,BDCOMM2,cre,1
BD0030.BCS,144,CreateCreature,BDCOMM1,cre,1
BD0030.BCS,150,CreateCreature,BDCOMM3,cre,1
BD0030.BCS,156,CreateCreature,BDCOMF1,cre,1
BD0030.BCS,162,CreateCreature,BDNOBM1,cre,1
BD0030.BCS,168,CreateCreature,BDFATMAN,cre,1
BD0030.BCS,174,CreateCreature,BDNOBM2,cre,1
BD0030.BCS,186,CreateCreature,BDCOMM2,cre,1
BD0030.BCS,192,CreateCreature,BDCOMM4,cre,1
BD0030.BCS,198,CreateCreature,BDCOMF2,cre,1
BD0030.BCS,204,CreateCreature,BDNOBF1,cre,1
