cre_key,cre_status,cre_sha256,kill_xp,ea,name_strref,current_hp,max_hp,state_hex,state_dead,deathvar,dialogue,cre_override,cre_class,cre_race,cre_general,cre_default
BDREFGM2,ok,0d924cd15486417d1d9b838f6e55cffaabd5d756499e178b10e76904320070b5,15,128,252888,8,8,0x00000000,0,BDREFGM2,BDREFGM2,BDCRWDE,NONE,NONE,NONE,NONE
BDREFGM3,ok,1e7a7f123179b31717955b7a038f3b3dee89e1533b709845f9a0987872330275,15,128,252888,8,8,0x00000000,0,BDREFGM3,BDREFGM3,BDCRWDE,NONE,NONE,NONE,NONE
BDREFGM4,ok,cc2e25382d1a94fef09dba955135896364190ede06347d9bfb0f1501e567e9c0,15,128,252888,8,8,0x00000000,0,BDREFGM4,BDREFGM4,BDCRWDE,NONE,NONE,NONE,NONE
BDREFGM5,ok,119eb807a65e2ee7513a9c4cdaa08ba5f4b9752bb8747e94b571d627067cbed6,15,128,252888,8,8,0x00000000,0,BDREFGM5,BDREFGM5,BDCRWDE,NONE,NONE,NONE,NONE
BDREFGM6,ok,2ddbee71cbd6635490dce87461f011456a95a2e5ef8f6e062e986362df71c2aa,15,128,252888,8,8,0x00000000,0,BDREFGM6,BDREFGM6,BDCRWDE,NONE,NONE,NONE,NONE
BDREFGF4,ok,47362928e7b1debe804ba174e7a4cc356a187d4a62bb5abd18250714b5241433,15,128,252888,8,8,0x00000000,0,BDREFGF4,BDREFGF4,BDCRWDE,NONE,NONE,NONE,NONE
BDREFGF5,ok,826ff3137745babd6bf97d6f1b9085ea66c88300835bcd6c0d707a7b18d2157f,15,128,252888,8,8,0x00000000,0,BDREFGF5,BDREFGF5,BDCRWDE,NONE,NONE,NONE,NONE
BDREFGF6,ok,47bfc80d05998fb00c5e14692e98e0066ab4009c458bfc3766938a6f1f80b62a,15,128,252888,8,8,0x00000000,0,BDREFGF6,BDREFGF6,BDCRWDE,NONE,NONE,NONE,NONE
BDREFGF7,ok,55bcaef300eb54a8aa047f2cf7e482e8967bec1a1df0b57a96404a487cbad7dc,15,128,252888,8,8,0x00000000,0,BDREFGF7,BDREFGF7,BDCRWDE,NONE,NONE,NONE,NONE
BDNOBF1,ok,6fa86ba6c7e77ef75a40688506dfd24474a3d8482ccd55ef12851ae17e272342,15,128,209420,8,8,0x00000000,0,BDNOBF1,,BDCRWDF,NONE,NONE,NONE,NONE
BDNOBF6,ok,11164bb376005b2de1014ede5667de0c3a402cecf0e62a9c24346583b9a961d5,15,128,209420,8,8,0x00000000,0,BDNOBF6,,BDCRWDE,NONE,NONE,NONE,NONE
