source,area,key,matches,indices,schedules,pass
comp220_lists.tpa,BD1100,BDUMBER1@3000@2235,1,14,0x00000000,1
comp220_lists.tpa,BD1100,BDSHZOM1@3247@971,1,22,0x00000000,1
comp220_lists.tpa,BD1100,ZOMBIE@3265@1026,1,23,0x00000000,1
comp220_lists.tpa,BD1100,BDSHZOM1@3278@1000,1,24,0x00000000,1
comp220_lists.tpa,BD1100,ZOMBIE@3334@1054,1,25,0x00000000,1
comp220_lists.tpa,BD1100,ZOMBIE@2363@1358,1,28,0x00000000,1
comp220_lists.tpa,BD1100,BDSHZOM1@2498@1416,1,29,0x00000000,1
comp220_lists.tpa,BD1100,BDWIGHT1@2405@1393,1,32,0x00000000,1
comp220_lists.tpa,BD1100,GHAST@3302@1016,1,33,0x00000000,1
comp220_lists.tpa,BD1100,GHOUL@3317@1063,1,34,0x00000000,1
comp220_lists.tpa,BD1100,BDWIGHT3@1523@2478,1,35,0x00000000,1
comp220_lists.tpa,BD1100,BDWIGHT3@1505@2539,1,36,0x00000000,1
comp220_lists.tpa,BD1100,GHOUL@1565@2519,1,37,0x00000000,1
comp220_lists.tpa,BD1100,GHOUL@1661@2507,1,38,0x00000000,1
comp220_lists.tpa,BD1100,BDGHAST@1641@2558,1,39,0x00000000,1
comp220_lists.tpa,BD1100,ZOMBIE@3000@1596,1,40,0x00000000,1
comp220_lists.tpa,BD1100,BDSHZOM1@2959@1645,1,41,0x00000000,1
comp220_lists.tpa,BD1100,ZOMBIE@2922@1616,1,42,0x00000000,1
comp220_lists.tpa,BD1100,BDSHZOM1@2891@1653,1,43,0x00000000,1
comp220_lists.tpa,BD1100,CARRIO@2062@1935,1,44,0x00000000,1
comp220_lists.tpa,BD1100,CARRIO@2151@1873,1,45,0x00000000,1
comp220_lists.tpa,BD1100,BDCCRAW1@2326@854,1,49,0x00000000,1
comp220_lists.tpa,BD1100,BDCCRAW1@2329@762,1,50,0x00000000,1
comp220_lists.tpa,BD1100,BDCCRAW1@2374@812,1,51,0x00000000,1
comp220_lists.tpa,BD1100,BDMCARRI@2394@794,1,52,0x00000000,1
comp220_lists.tpa,BD1100,BDMCARRI@2369@842,1,53,0x00000000,1
comp220_lists.tpa,BD1100,BDCCRAW1@2407@745,1,54,0x00000000,1
comp220_lists.tpa,BD1100,BDMCARRI@2367@754,1,55,0x00000000,1
comp220_lists.tpa,BD1100,BDOTYG02@2210@871,1,56,0x00000000,1
comp220_lists.tpa,BD1100,BDMCARRI@2309@809,1,57,0x00000000,1
comp220_lists.tpa,BD1100,BDMCARRI@2447@786,1,58,0x00000000,1
comp220_lists.tpa,BD1100,BDOTYG01@2209@819,1,59,0x00000000,1
comp220_lists.tpa,BD1100,BDCCRAW1@2944@2211,1,60,0x00000000,1
comp220_lists.tpa,BD1100,BDCCRAW1@2977@2305,1,61,0x00000000,1
comp220_lists.tpa,BD1100,BDMCARRI@3000@2286,1,62,0x00000000,1
comp220_lists.tpa,BD1100,BDMCARRI@3034@2187,1,63,0x00000000,1
comp220_lists.tpa,BD1100,BDMCARRI@3069@2213,1,64,0x00000000,1
comp220_lists.tpa,BD1100,BDMCARRI@3060@2273,1,65,0x00000000,1
comp220_lists.tpa,BD1100,BDMCARRI@2167@1931,1,66,0x00000000,1
comp220_lists.tpa,BD1100,BDMCARRI@2121@1815,1,67,0x00000000,1
comp220_lists.tpa,BD1100,BDMCARRI@2225@1996,1,68,0x00000000,1
comp220_lists.tpa,BD1100,BDWIGHT3@1608@2510,1,69,0x00000000,1
comp220_lists.tpa,BD1100,BDGHASTG@1691@2542,1,70,0x00000000,1
comp220_lists.tpa,BD1100,BDWIGHT2@1717@2524,1,71,0x00000000,1
comp220_lists.tpa,BD1100,BDWIGHT1@2409@1339,1,72,0x00000000,1
comp220_lists.tpa,BD1100,BDGHASTG@2446@1301,1,73,0x00000000,1
comp220_lists.tpa,BD1100,BDWIGHT2@2493@1282,1,74,0x00000000,1
comp220_lists.tpa,BD1100,BDWIGHT1@3216@977,1,75,0x00000000,1
comp220_lists.tpa,BD1100,BDWIGHT3@3175@991,1,76,0x00000000,1
comp220_lists.tpa,BD1100,GHOUL@1101@1829,1,77,0x00000000,1
comp220_lists.tpa,BD1100,BDSHZOM1@1024@1860,1,78,0x00000000,1
comp220_lists.tpa,BD1100,BDSHZOM1@1109@1885,1,79,0x00000000,1
comp220_lists.tpa,BD1100,BDSHZOM1@1219@1764,1,80,0x00000000,1
comp220_lists.tpa,BD1100,GHOUL@1111@1789,1,82,0x00000000,1
comp220_lists.tpa,BD1100,SKELDED@2487@2432,1,84,0x00000000,1
comp220_lists.tpa,BD1100,SKELDED@3108@2195,1,85,0x00000000,1
comp220_lists.tpa,BD1100,BDGHASTG@2895@1622,1,87,0x00000000,1
comp220_lists.tpa,BD1100,BDGHASTG@3095@1598,1,88,0x00000000,1
comp220_lists.tpa,BD1100,BDWIGHT3@3109@986,1,89,0x00000000,1
comp220_lists.tpa,BD1100,GHOUL@2991@1623,1,90,0x00000000,1
comp220_lists.tpa,BD1100,GHOUL@3048@1591,1,91,0x00000000,1
comp220_lists.tpa,BD1100,GHAST@2966@1608,1,92,0x00000000,1
comp220_lists.tpa,BD1100,GHAST@2864@1629,1,93,0x00000000,1
comp220_lists.tpa,BD1100,GHAST@3101@1581,1,94,0x00000000,1
comp220_lists.tpa,BD1100,GHAST@3161@1602,1,95,0x00000000,1
comp220_lists.tpa,BD1100,GHAST@3218@1614,1,96,0x00000000,1
comp220_lists.tpa,BD1100,BDGHASTG@3141@999,1,97,0x00000000,1
comp220_lists.tpa,BD1100,GHAST@3184@966,1,98,0x00000000,1
comp220_lists.tpa,BD1100,GHAST@3326@1098,1,99,0x00000000,1
comp220_lists.tpa,BD1200,BDDEAD01@3533@1643,1,4,0x00000000,1
comp220_lists.tpa,BD1200,BDDEAD01@3482@1682,1,5,0x00000000,1
comp220_lists.tpa,BD1200,BDDEAD01@3315@1772,1,6,0x00000000,1
comp220_lists.tpa,BD1200,BDDEAD01@3235@1804,1,7,0x00000000,1
comp220_lists.tpa,BD1200,BDSKGR03@1489@991,1,8,0x00000000,1
comp220_lists.tpa,BD1200,BDSKGR05@1269@2557,1,9,0x00000000,1
comp220_lists.tpa,BD1200,BDSKGR05@1218@2582,1,10,0x00000000,1
comp220_lists.tpa,BD1200,BDSKGR01@1656@936,1,11,0x00000000,1
comp220_lists.tpa,BD1200,BDSKGR02@1393@1084,1,12,0x00000000,1
comp220_lists.tpa,BD1200,BDBONBAT@1474@1046,1,13,0x00000000,1
comp220_lists.tpa,BD1200,BDBONBAT@1600@1006,1,14,0x00000000,1
comp220_lists.tpa,BD1200,GHOUL@2033@1279,1,15,0x00000000,1
comp220_lists.tpa,BD1200,BDSKGR04@2312@2454,1,16,0x00000000,1
comp220_lists.tpa,BD1200,BDSKGR04@2202@2377,1,17,0x00000000,1
comp220_lists.tpa,BD1200,BDSKGR04@1430@2031,1,21,0x00000000,1
comp220_lists.tpa,BD1200,BDSHSOUL@1430@955,1,22,0x00000000,1
comp220_lists.tpa,BD1200,BDSHZOM1@1981@1348,1,23,0x00000000,1
comp220_lists.tpa,BD1200,BDSHZOM1@2245@1146,1,24,0x00000000,1
comp220_lists.tpa,BD1200,BDWIGHT1@2561@1636,1,27,0x00000000,1
comp220_lists.tpa,BD1200,BDBONBAT@2523@1929,1,28,0x00000000,1
comp220_lists.tpa,BD1200,BDBONBAT@2355@1828,1,29,0x00000000,1
comp220_lists.tpa,BD1200,BDBONBAT@2563@2002,1,30,0x00000000,1
comp220_lists.tpa,BD1200,SKELDED@973@1582,1,31,0x00000000,1
comp220_lists.tpa,BD1200,SKELDED@1149@1696,1,32,0x00000000,1
comp220_lists.tpa,BD1200,BDDEAD01@3039@986,1,33,0x00000000,1
comp220_lists.tpa,BD1200,BDDEAD01@3102@1036,1,34,0x00000000,1
comp220_lists.tpa,BD1200,BDWIGHT2@3129@936,1,35,0x00000000,1
comp220_lists.tpa,BD1200,BDWIGHT2@3262@999,1,36,0x00000000,1
comp220_lists.tpa,BD1200,BDBONBAT@3339@1688,1,37,0x00000000,1
comp220_lists.tpa,BD1200,BDBONBAT@3396@1665,1,38,0x00000000,1
comp220_lists.tpa,BD1200,SKELDED@2148@1932,1,39,0x00000000,1
comp220_lists.tpa,BD1200,SKELDED@1730@1736,1,40,0x00000000,1
comp220_lists.tpa,BD1200,BDSKGR04@2303@2421,1,45,0x00000000,1
comp220_lists.tpa,BD1200,BDWIGHT1@2191@1167,1,46,0x00000000,1
comp220_lists.tpa,BD1200,BDSHZOM1@1918@1289,1,47,0x00000000,1
comp220_lists.tpa,BD1200,BDSHZOM1@2117@1171,1,48,0x00000000,1
comp220_lists.tpa,BD1200,BDWIGHT3@2719@2175,1,49,0x00000000,1
comp220_lists.tpa,BD1200,BDWIGHT3@2412@1813,1,50,0x00000000,1
comp220_lists.tpa,BD1200,BDWIGHT3@2665@1992,1,51,0x00000000,1
comp220_lists.tpa,BD1200,BDSKGR04@1397@2179,1,53,0x00000000,1
comp220_lists.tpa,BD1200,ZOMBIE@1855@1360,1,58,0x00000000,1
comp220_lists.tpa,BD1200,ZOMBIE@2184@1248,1,59,0x00000000,1
comp220_lists.tpa,BD1200,BDSHSOUL@1458@2150,1,61,0x00000000,1
comp220_lists.tpa,BD1200,BDBONBAT@1133@2188,1,62,0x00000000,1
