source,area,key,matches,indices,schedules,pass_check
comp200.tpa,BD1000,SPIDGI@530@1562,1,117,0x00000000,1
comp200.tpa,BD1000,SPIDGI@644@1594,1,118,0x00000000,1
comp200.tpa,BD1000,SPIDHU@548@1459,1,119,0x00000000,1
comp200.tpa,BD1000,SPIDPH@616@1502,1,120,0x00000000,1
comp200.tpa,BD1000,SPIDPH@468@1468,1,123,0x00000000,1
comp200.tpa,BD1000,SPIDPH@467@1532,1,124,0x00000000,1
comp200.tpa,BD1000,BDSPIDGA@563@1523,1,121,0x00000000,1
comp200.tpa,BD1000,BDSPIDGA@498@1496,1,122,0x00000000,1
comp187.tpa,BD0100,Corwin@BDSCHAEL,1,0,0x00000000,1
comp187.tpa,BD0100,Assassin1@BDGASS5,1,1,0x00000000,1
comp187.tpa,BD0100,Assassin2@BDGASS5,1,2,0x00000000,1
comp187.tpa,BD0100,Assassin3@BDGASS5,1,3,0x00000000,1
comp187.tpa,BD0100,FF Guard 1@BDFISTCC,1,4,0x00000000,1
comp187.tpa,BD0100,FF Guard 2@BDFISTCC,1,5,0x00000000,1
comp187.tpa,BD0100,FF Dead 1@BDFFDEAD,1,6,0x00000000,1
comp187.tpa,BD0100,FF Dead 2@BDFFDEAD,1,8,0x00000000,1
comp187.tpa,BD0100,FF Dead 3@BDFFDEAD,1,7,0x00000000,1
