area,historical_placed_enemy_count,historical_scripted_oneoff_enemies,historical_total_enemy,current_scheduled_ea255,current_scheduled_ea_ge200_not_dead,current_zero_schedule,audit_status,comparison_note
BD0010,0,0,0,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0020,0,0,0,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0021,0,0,0,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0030,0,0,0,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0035,0,0,0,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0040,0,0,0,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0050,0,0,0,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0060,8,0,8,8,8,0,deferred-arena,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0061,9,0,9,9,8,0,deferred-arena,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0062,5,5,10,5,5,0,deferred-arena,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0063,5,0,5,5,5,0,deferred-arena,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0064,0,3,3,0,0,0,deferred-arena,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0065,0,0,0,0,0,0,unused-slot,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0066,38,0,38,38,38,0,deferred-arena,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0067,13,0,13,13,13,0,deferred-arena,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0070,0,0,0,0,0,0,unused-slot,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0071,0,0,0,0,0,0,unused-slot,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0072,0,0,0,0,0,0,unused-slot,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0100,3,3,6,0,0,9,removed-scene,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0101,0,0,0,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0102,0,5,5,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0103,0,1,1,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0104,0,0,0,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0105,0,0,0,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0106,0,0,0,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0107,0,0,0,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0108,0,0,0,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0109,0,0,0,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
