area,index,region_name,type,x1,y1,x2,y2,destination,entrance,flags_hex,deactivated,trapped,script
BD0010,0,TranBD0102,2,761,33,1066,342,BD0102,Exitbd0101,0x00000604,0,0,
BD0010,1,InfoBD0102a,1,605,237,640,288,,,0x00000000,0,0,
BD0010,2,InfoBD0102b,1,1047,346,1083,397,,,0x00000000,0,0,BDINFO01
BD0010,3,Infopoint04,1,608,890,697,935,,,0x00000000,0,0,
BD0010,4,Infopoint05,1,710,924,801,987,,,0x00000000,0,0,
BD0010,5,Infopoint07,1,362,543,415,629,,,0x00000000,0,0,
BD0010,6,Infopoint08,1,39,460,84,536,,,0x00000000,0,0,
BD0020,0,TranBD0121,2,388,536,450,626,BD0121,Exitbd0020,0x00000204,0,0,
BD0020,1,TranBD0109,2,1212,996,1264,1060,BD0109,ExitBD0020,0x00000204,0,0,
BD0020,2,InfoBD0121,1,134,573,187,600,,,0x00000000,0,0,
BD0020,3,InfoBD0121,1,429,461,485,559,,,0x00000000,0,0,
BD0020,4,InfoBD0109,1,1047,855,1085,894,,,0x00000000,0,0,BDINFO01
BD0020,5,Nexit1,0,9,900,28,949,,,0x00000000,0,0,
BD0020,6,Nexit2,0,9,800,29,856,,,0x00000000,0,0,
BD0020,7,Nexit3,0,8,722,28,770,,,0x00000000,0,0,
BD0020,8,Sexit1,0,377,1185,465,1202,,,0x00000000,0,0,
BD0020,9,Sexit2,0,568,1188,673,1204,,,0x00000000,0,0,
BD0020,10,Sexit3,0,752,1187,877,1205,,,0x00000000,0,0,
BD0030,0,TranBD0104,2,363,628,548,822,BD0104,Exitbd0030,0x00000A04,0,0,
BD0030,1,InfoBD0104,1,267,750,309,862,,,0x00000000,0,0,
BD0030,2,InfoBD0104,1,668,602,710,714,,,0x00000000,0,0,
BD0030,3,Eexit1,0,1377,426,1395,489,,,0x00000100,1,0,
BD0030,4,Eexit2,0,1377,551,1394,624,,,0x00000100,1,0,
BD0030,5,Eexit3,0,1375,706,1399,784,,,0x00000100,1,0,
BD0030,6,Wexit1,0,5,1054,30,1130,,,0x00000000,0,0,
BD0030,7,Infopoint08,1,1250,391,1336,463,,,0x00000000,0,0,BDINFO01
BD0030,8,Infopoint09,1,836,661,942,812,,,0x00000000,0,0,
BD0040,0,TranBD0106,2,643,499,800,650,BD0106,Exitbd0040,0x00000204,0,0,
BD0040,1,InfoBD0106-Front,1,799,511,847,587,,,0x00000000,0,0,
BD0040,2,Dead Body,1,97,737,208,808,,,0x00000000,0,0,
BD0040,3,Sexit1,0,660,1193,757,1210,,,0x00000000,0,0,
BD0040,4,Sexit2,0,852,1192,949,1209,,,0x00000000,0,0,
BD0040,5,Sexit3,0,1054,1191,1151,1208,,,0x00000000,0,0,
