area,present,table_count,table,all_slots,difficulty,max_spawn,enabled,day_chance,night_chance,configured,has_bdnorest
BD0010,1,1,BDNOREST,BDNOREST|||||||||,1,1,1,100,100,1,1
BD0020,1,1,BDNOREST,BDNOREST|||||||||,1,1,1,100,100,1,1
BD0021,1,0,,|||||||||,0,0,0,0,0,0,0
BD0030,1,1,BDNOREST,BDNOREST|||||||||,1,1,1,100,100,1,1
BD0035,1,0,,|||||||||,0,0,0,0,0,0,0
BD0040,1,1,BDNOREST,BDNOREST|||||||||,1,1,1,100,100,1,1
BD0050,1,1,BDNOREST,BDNOREST|||||||||,1,1,1,100,100,1,1
BD0060,1,1,ORC01_,ORC01_|||||||||,2,3,1,1,1,1,0
BD0061,1,1,TROLL01,TROLL01|||||||||,2,2,1,1,1,1,0
BD0062,1,1,TROLFR01,TROLFR01|||||||||,2,3,1,1,1,1,0
BD0063,1,0,,|||||||||,2,1,1,10,10,0,0
BD0064,1,1,BDGIANHI,BDGIANHI|||||||||,2,3,1,2,2,1,0
BD0065,1,0,,|||||||||,0,0,0,0,0,0,0
BD0066,1,1,BDGOB02,BDGOB02|||||||||,2,6,1,1,1,1,0
BD0067,1,1,BDMYCRD,BDMYCRD|||||||||,2,3,1,2,2,1,0
BD0070,1,0,,|||||||||,2,1,1,10,10,0,0
BD0071,1,0,,|||||||||,0,0,0,0,0,0,0
BD0072,1,0,,|||||||||,0,0,0,0,0,0,0
BD0100,1,0,,|||||||||,1,10,1,10,10,0,0
BD0101,1,0,,|||||||||,0,0,0,0,0,0,0
BD0102,1,0,,|||||||||,1,10,1,10,10,0,0
BD0103,1,0,,|||||||||,1,10,1,10,10,0,0
BD0104,1,0,,|||||||||,0,0,0,0,0,0,0
BD0105,1,0,,|||||||||,1,10,1,10,10,0,0
BD0106,1,0,,|||||||||,1,10,1,10,10,0,0
BD0107,1,0,,|||||||||,1,10,1,10,10,0,0
BD0108,1,0,,|||||||||,1,10,1,10,10,0,0
BD0109,1,0,,|||||||||,1,10,1,10,10,0,0
BD0110,1,0,,|||||||||,1,10,1,10,10,0,0
BD0111,1,0,,|||||||||,1,10,1,10,10,0,0
BD0112,1,0,,|||||||||,0,0,0,0,0,0,0
BD0113,1,1,BDWYRML1,BDWYRML1|||||||||,2,3,1,2,2,1,0
BD0114,1,3,SPIDGI|SPIDHU|SPIDSW,SPIDGI|SPIDHU|SPIDSW|||||||,2,3,1,1,2,1,0
BD0115,1,2,BDWOLF|BDWOLFVA,BDWOLF|BDWOLFVA||||||||,200,3,1,1,2,1,0
BD0116,1,0,,|||||||||,1,10,1,10,10,0,0
BD0117,1,0,,|||||||||,1,10,1,10,10,0,0
BD0118,1,0,,|||||||||,1,10,1,10,10,0,0
BD0120,1,3,BDSKGR02|BDSKGR00|BDSKGR04,BDSKGR02|BDSKGR00|BDSKGR04|||||||,80,6,1,1,1,1,0
BD0121,1,0,,|||||||||,1,10,1,10,10,0,0
BD0122,1,0,,|||||||||,1,10,1,10,10,0,0
BD0130,1,3,BDSKGR02|BDSKGR00|BDSKGR04,BDSKGR02|BDSKGR00|BDSKGR04|||||||,80,6,1,1,1,1,0
BD1000,1,4,BDWOLF|BDWOLFDI|BDBEARBR|BDBANDAM,BDWOLF|BDWOLFDI|BDBEARBR|BDBANDAM||||||,2,3,1,1,2,1,0
BD1010,1,1,JELLOC,JELLOC|||||||||,2,3,1,1,2,1,0
BD1100,1,3,BDSHZOM1|ZOMBIE|GHOUL,BDSHZOM1|ZOMBIE|GHOUL|||||||,200,3,1,1,1,1,0
BD1200,1,3,GHOUL|BDSHZOM1|BDSKGR00,GHOUL|BDSHZOM1|BDSKGR00|||||||,200,3,1,1,1,1,0
BD2000,1,5,BDWOLF|BDWOLFDI|BDBEARBL|BEARBR|BDBANDIT,BDWOLF|BDWOLFDI|BDBEARBL|BEARBR|BDBANDIT|||||,2,3,1,1,1,1,0
BD2010,1,4,BDBOAR02|BDWOLFDI|JELLYGR|BDBEARBR,BDBOAR02|BDWOLFDI|JELLYGR|BDBEARBR||||||,200,3,1,1,1,1,0
BD2100,1,0,,|||||||||,0,0,0,0,0,0,0
BD3000,1,0,,|||||||||,0,0,0,0,0,0,0
BD4000,1,0,,|||||||||,0,0,0,0,0,0,0
BD4100,1,0,,|||||||||,0,0,0,0,0,0,0
BD4300,1,0,,|||||||||,0,0,0,0,0,0,0
BD4400,1,2,BDIMP|BDLEMURE,BDIMP|BDLEMURE||||||||,200,3,1,1,1,1,0
BD4500,1,2,BDIMP|BDLEMURE,BDIMP|BDLEMURE||||||||,200,3,1,1,1,1,0
BD4600,1,0,,|||||||||,0,0,0,0,0,0,0
BD4601,1,0,,|||||||||,0,0,0,0,0,0,0
BD4700,1,0,,|||||||||,0,0,0,0,0,0,0
BD5000,1,10,BDWOLF|BDWOLFDI|BDSPIDGI|BDSPIDHU|BDBEARBR|ANKHEG|ORC01_|GNOLL|HOBGOB|OGRE,BDWOLF|BDWOLFDI|BDSPIDGI|BDSPIDHU|BDBEARBR|ANKHEG|ORC01_|GNOLL|HOBGOB|OGRE,200,3,1,1,1,1,0
BD5100,1,3,BDTREANT|BDSPIDGI|BDMYCRD,BDTREANT|BDSPIDGI|BDMYCRD|||||||,2,6,1,1,1,1,0
BD5110,1,3,BDMYCRD|BDSPIDGI|BDSHAD04,BDMYCRD|BDSPIDGI|BDSHAD04|||||||,200,3,1,2,2,1,0
BD5200,1,0,,|||||||||,0,0,0,0,0,0,0
BD5300,1,0,,|||||||||,0,0,0,0,0,0,0
BD6000,1,0,,|||||||||,0,0,0,0,0,0,0
BD6100,1,0,,|||||||||,0,0,0,0,0,0,0
BD6200,1,0,,|||||||||,0,0,0,0,0,0,0
BD7000,1,5,BDWOLF|BDWOLFDI|ANKHEG|BDBOAR02|BDSPIDGI,BDWOLF|BDWOLFDI|ANKHEG|BDBOAR02|BDSPIDGI|||||,200,3,1,1,1,1,0
BD7100,1,6,BDBANDIT|BDWOLFDI|BDBOAR02|BDSPIDGI|BDBEARBL|TROLL01,BDBANDIT|BDWOLFDI|BDBOAR02|BDSPIDGI|BDBEARBL|TROLL01||||,2,3,1,1,2,1,0
BD7110,1,2,TROLL01|TROLLSM,TROLL01|TROLLSM||||||||,200,3,1,1,1,1,0
BD7200,1,4,BDWOLFDI|BDBOAR02|BDSPIDGI|BDBEARBR,BDWOLFDI|BDBOAR02|BDSPIDGI|BDBEARBR||||||,200,3,1,1,1,1,0
BD7210,1,0,,|||||||||,2,1,1,0,0,0,0
BD7220,1,3,BDBUGB01|BDBUGB10|BDBUGB20,BDBUGB01|BDBUGB10|BDBUGB20|||||||,2,3,1,1,1,1,0
BD7230,1,2,BDSPIDGI|BDCRAWMU,BDSPIDGI|BDCRAWMU||||||||,200,3,1,1,1,1,0
BD7300,1,8,HOBGOB|BDWOLF|BDWOLFDI|BDSPIDGI|BDBOAR02|BDOROG01|BDGIANHI|BDBEARBR,HOBGOB|BDWOLF|BDWOLFDI|BDSPIDGI|BDBOAR02|BDOROG01|BDGIANHI|BDBEARBR||,200,3,1,1,1,1,0
BD7310,1,0,,|||||||||,1,10,1,10,10,0,0
BD7400,1,10,BDSKGR00|GHOUL|GHAST|BDSPIDGI|BDWOLF|BDWRAIT1|BDBOAR02|BDBEARBR|BDWOLFDI|BDSPIDHU,BDSKGR00|GHOUL|GHAST|BDSPIDGI|BDWOLF|BDWRAIT1|BDBOAR02|BDBEARBR|BDWOLFDI|BDSPIDHU,200,3,1,1,1,1,0
BD7410,1,0,,|||||||||,0,0,0,0,0,0,0
