script,lines,create_calls,decompiled_sha256,corpus
ANKHEG.BCS,42,0,d62f64c59be46a118f7903173c143f6b31be307a2cb1d5f32af80d72b8afe871,baf
BANDIT.BCS,173,0,c6e97a4d2869430461402e98fc4bab4ee6f262df0df1b2c3000a3deed91d706d,baf
BD0010.BCS,374,25,e98cbdcdb1ab504f55c091e13af8f4b64cb2f80b3188b38e4b25e54d9aedc88a,baf
BD0010OT.BCS,41,0,87b261bd57848212cda963584f565081de2e5513935b942628f18c4409eed290,baf
BD0020.BCS,418,37,f38001635c1e664acc9c4c969c711b7f6861205b8a774ec55bfd8f2761282cc3,baf
BD0021.BCS,93,0,249c95ffcfe54bc412edb8324c80401d70610f20494e014b1db0531020e4e3e7,baf
BD0030.BCS,254,12,ef4f2e31a46dfcdf41d568a1635baab8b105470e18f929b7f90da787b3e85a59,baf
BD0035.BCS,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,baf
BD0040.BCS,330,25,6017201545ea60d8d767173d144fb584a5ebb0e0f10ea9f07741ae74a96da72e,baf
BD0050.BCS,352,30,d64b33dc0b80ab70fe5c655fc7d7ad59aa60683a2543354777835f1dd6178ecf,baf
BD0060.BCS,49,0,72d81ad1c8cf62bd76d31196257be90415b7e9bdfd7f6ca79977c77c17b1201c,baf
BD0061.BCS,21,0,e69049b140c8f595e7ba70cb890ec2bc8cadbe083a1c62c30712fe8823b3b4ac,baf
BD0062.BCS,69,15,8570ef94505b59470c47865441d7e1aa7f8a5440b5a5a6e3d92a29774ce9fce5,baf
BD0063.BCS,190,0,e555610430a58ac79b48fa110da9844652573ccc41c055eac739a73edcd6cd30,baf
BD0064.BCS,50,3,eb7b5633ed050f1eb5d62e9bb82e1bb0049a71b3d0ac7919d1b85e781b6346b6,baf
BD0065.BCS,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,baf
BD0066.BCS,118,0,919310994dd7db095f2ce2131cb7e46cf90c833335aab7eb4899d0153ffc449e,baf
BD0067.BCS,8,0,10f8dee2d6c30024f4d27396d6252b52c5c701a91c2e9bd53a595d949a3caedf,baf
BD0070.BCS,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,baf
BD0071.BCS,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,baf
BD0071SC.BCS,13,0,ebdba58a1e42a98228f91735f36f0f676616ff5d58cbc2eb44a1e1513fb5ef76,baf
BD0072.BCS,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,baf
BD0100.BCS,150,14,b8ebd5cd613e5d4e334419fccbc8f48193270e2d652c58c10f189f17572e4f78,baf
BD0101.BCS,634,19,d4f8ce8424e50fd0a29bd21a4342f772bebdd6debd76a09dc18bd5df52f267a5,baf
BD0102.BCS,506,83,fff66a4f9ede7164e7b673d059d1e42d2b518a4161378cac04f872193d91312a,baf
BD0103.BCS,1209,12,e8ca848591155c7aaa3aac63e16bf1ca4b563b52633dfd077e90aaf91eccc1b0,baf
BD0104.BCS,338,5,ff4648d9fb88a4baf7267e2408e6d7077cdad82174c2168d614ceb22387208f9,baf
BD0105.BCS,63,0,970d2d98fa70016c7c56b29e63b9d8a36ffe8d1c3da5b9fe119fb9120b4d7a0b,baf
BD0106.BCS,75,8,f223d399f50fd80f184b5c89bbb24cfdf6e7a13a210bca41ad552a2f1d0a8ee6,baf
BD0107.BCS,168,8,6fed3fb31acd4eed8106f2e567df441ddba74d217ae2ff3fcee86da77e2a9052,baf
BD0107OT.BCS,50,0,a39e63076e7fdfbf100f0568a123c9a6adffa558d2ef8cf4cd95dfe778437732,baf
BD0108.BCS,184,4,9f8814055721828edc36f9871fa083d3da5335fa785f9f76ba7d9185caf042f7,baf
BD0109.BCS,225,8,ac552e98885cddf314924ebecd4021d7edc544f88424e9248da13ed31147c168,baf
BD0110.BCS,120,1,b01f659a91808868de75a150393845e6ce11b50e8c7e6410c96dd41e29f5b56e,baf
