area,index,spawn_name,x,y,table_count,table,all_slots,difficulty,frequency_seconds,method_hex,one_time,temporarily_disabled,max_spawn,enabled,schedule_hex,scheduled_hours,schedule_active,hours,day_chance,night_chance,ee_frequency,ee_countdown,weights,configured_and_scheduled
BD1000,0,Wolves01,961,1132,2,BDWOLF|BDWOLFDI,BDWOLF|BDWOLFDI||||||||,200,2,0x0019,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,144|16|1|1|1|1|1|1|1|1,0
BD1000,1,Worgs,3510,2722,1,BDWORG,BDWORG|||||||||,200,2,0x0019,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,1|1|1|1|1|1|1|1|1|1,0
BD1000,2,Spiders01,4771,3241,2,BDSPIDHU|BDSPIDGI,BDSPIDHU|BDSPIDGI||||||||,200,2,0x0059,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,1|1|1|1|1|1|1|1|1|1,0
BD1000,3,Spiders02,550,1474,0,,BDSPIDHU|BDSPIDGI||||||||,200,2,0x0059,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,1|1|1|1|1|1|1|1|1|1,0
BD1000,4,Wolves02,3300,3520,2,BDWOLF|BDWOLFDI,BDWOLF|BDWOLFDI||||||||,200,2,0x0079,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,80|10|1|1|1|1|1|1|1|1,0
BD1000,5,Bears01,2250,3440,2,BDBEARBL|BDBEARBN,BDBEARBL|BDBEARBN||||||||,200,2,0x0019,0,0,2,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,1|1|1|1|1|1|1|1|1|1,0
BD1000,6,Bears02,4780,1200,2,BDBEARBL|BDBEARBN,BDBEARBL|BDBEARBN||||||||,200,2,0x0019,0,0,2,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,1|1|1|1|1|1|1|1|1|1,0
BD2000,0,Wolves01,680,830,2,BDWOLF|BDWOLFDI,BDWOLF|BDWOLFDI||||||||,200,6,0x0079,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,90|10|0|0|0|0|0|0|0|0,0
BD2000,1,Beetles01,4800,730,2,BDBEETBH|BDBEETMH,BDBEETBH|BDBEETMH||||||||,200,6,0x0059,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,0|0|0|0|0|0|0|0|0|0,0
BD2000,2,Spiders01,4660,1960,2,BDSPIDGI|BDSPIDHU,BDSPIDGI|BDSPIDHU||||||||,200,6,0x0059,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,0|0|0|0|0|0|0|0|0|0,0
BD2000,3,Bears01,4037,2638,2,BDBEARBL|BEARBR,BDBEARBL|BEARBR||||||||,200,6,0x0059,0,0,1,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,95|5|0|0|0|0|0|0|0|0,0
