area,kind,source,placed_count,ea,xp_per_creature,item,charges,flags,instance_undroppable
BD0060,creature,BDBEETBM,1,128,120,S1-12,0|0|0,0,False
BD0060,creature,BDORC1D,7,127,0,HELM01,0|0|0,0,False
BD0060,creature,BDORC1D,7,127,0,LEAT04,0|0|0,0,False
BD0060,creature,BDORC1D,7,127,0,SHLD01A,0|0|0,0,False
BD0060,creature,BDORC1D,7,127,0,DAGG01,0|0|0,0,False
BD0060,creature,BDORC2D,5,127,0,HELM01,0|0|0,0,False
BD0060,creature,BDORC2D,5,127,0,LEAT04,0|0|0,0,False
BD0060,creature,BDORC2D,5,127,0,SHLD01A,0|0|0,0,False
BD0060,creature,BDORC2D,5,127,0,DAGG01,0|0|0,0,False
BD0060,creature,BDTROL1D,2,127,0,HELM01,0|0|0,0,False
BD0060,creature,BDTROL1D,2,127,0,LEAT04,0|0|0,0,False
BD0060,creature,BDTROL1D,2,127,0,SHLD01A,0|0|0,0,False
BD0060,creature,BDTROL1D,2,127,0,DAGG01,0|0|0,0,False
BD0060,creature,BDTROL2D,1,127,0,HELM01,0|0|0,0,False
BD0060,creature,BDTROL2D,1,127,0,LEAT04,0|0|0,0,False
BD0060,creature,BDTROL2D,1,127,0,SHLD01A,0|0|0,0,False
BD0060,creature,BDTROL2D,1,127,0,DAGG01,0|0|0,0,False
BD0060,creature,BDURE1A,3,255,120,LEAT04,0|0|0,0,False
BD0060,creature,BDURE1A,3,255,120,HALB01,0|0|0,0,False
BD0060,creature,BDURE1A,3,255,120,RNDGEM02,0|0|0,0,False
BD0060,creature,BDURE1B,2,255,120,LEAT01,0|0|0,0,False
BD0060,creature,BDURE1B,2,255,120,BOW01,0|0|0,0,False
BD0060,creature,BDURE1B,2,255,120,SPER01,0|0|0,0,False
BD0060,creature,BDURE1B,2,255,120,AROW01,40|0|0,0,False
BD0060,creature,BDURE1B,2,255,120,AROW01,40|0|0,0,False
BD0060,creature,BDURE1B,2,255,120,AROW08,40|0|0,0,False
BD0060,creature,BDURE1B,2,255,120,RNDTRI02,0|0|0,0,False
BD0060,creature,BDURE1C,1,255,175,LEAT10,0|0|0,2,False
BD0060,creature,BDURE1C,1,255,175,STAF01,0|0|0,2,False
